Address,postalCode,Property type,Post town name,County area name,Region name,UPRN,Amount,Amount per week,Price actual,Price max,Price min,Number of rooms,Number of Bath,Reception,Square foot,EPC Rating,Nearby Stations,Nearby Schools,Longitude,Latitude,Council tax ,Listing URL,LODGEMENT_ID,POSTCODE,BUILDING_ID,CURRENT_ENER_RATING,POTENTIAL_ENER_RATING,CURRENT_ENER_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LAD_CD,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENV_IMP_CURR,ENV_IMP_POTENT,ENERGY_CONSUM_CURR,ENERGY_CONSUM_POTEN,CO2_EMISS_CURR,CO2_EMISS_CURR_PER_FLOOR,CO2_EMISS_POTENT,SQM_TOTAL,ENERGY_TARIFF,FLOOR_LEVEL,GLAZED_TYPE,ROOMS_HABITABLE,LOW_ENERGY_LIGHTING,FIREPLACES_OPEN,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,HEAT_LOSS_CORRIDOR,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LAD_NM,POSTTOWN,CONSTRUCTION_AGE,TENURE,UPRN_SOURCE,Source Folder
"York Road, Leeds LS9",LS9 6FB,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72753895,775,178.85,775,800,700,1,,,,D,"Leeds
1.7 miles, Cross Gates
2.4 miles, Burley Park
3 miles, Headingley
3.7 miles","St Patrick Catholic Primary School
0.2 miles, Co-op Academy Brownhill
0.2 miles, Victoria Primary Academy
0.2 miles, Trinity Academy Leeds
0.3 miles",-1.507946,53.799638,,https://www.zoopla.co.uk/to-rent/details/68692678/,1.52E+33,LS9 6FB,9794989478,D,D,62,62,Flat,Detached,10/05/2016,E08000035,,42774,new dwelling,66,66,306,306,2.1,52,2.1,41,standard tariff,top floor,NO DATA!,,,0,(other premises below),,,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.29 W/m-Â¦K,Very Good,Very Good,Average thermal transmittance 0.18 W/m-Â¦K,Good,Good,"Room heaters, radiators, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,,NO DATA!,"Flat 31 York Towers, 383, York Road",Leeds,LEEDS,NO DATA!,unknown,Address Matched,domestic-E08000035-Leeds
"Ling Lane, Scarcroft, Leeds LS14",LS14 3HX,detached,Leeds,West Yorkshire,Yorkshire and The Humber,72386141,6000,1384.62,6000,6000,6000,6,2,2,4139,D,"Cross Gates
4.3 miles, Garforth
5.7 miles, Leeds
6.2 miles, Burley Park
6.2 miles","Shadwell Primary School
1 miles, Bardsey Primary Academy
1 miles, Thorner Church of England Primary School
2 miles, Fieldhead Carr Primary School
2 miles",-1.456454,53.866638,,https://www.zoopla.co.uk/to-rent/details/69562470/,2.22E+32,LS14 3HX,8099917568,D,C,55,78,House,Detached,18/12/2019,E08000035,,43817,rental (private),47,70,279,152,16,49,9,334,Single,NODATA!,"double glazing, unknown install date",9,43,0,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 43% of fixed outlets,Average,Average,NO DATA!,,N,natural,"Ling Lodge, Ling Lane, Scarcroft",Leeds,LEEDS,England and Wales: 1930-1949,rental (private),Address Matched,domestic-E08000035-Leeds
"Ling Lane, Scarcroft, Leeds LS14",LS14 3HX,detached,Leeds,West Yorkshire,Yorkshire and The Humber,72386141,6000,1384.62,6000,6000,6000,6,2,2,4139,D,"Cross Gates
4.3 miles, Garforth
5.7 miles, Leeds
6.2 miles, Burley Park
6.2 miles","Shadwell Primary School
1 miles, Bardsey Primary Academy
1 miles, Thorner Church of England Primary School
2 miles, Fieldhead Carr Primary School
2 miles",-1.456454,53.866638,,https://www.zoopla.co.uk/to-rent/details/69562470/,2.22E+32,LS14 3HX,8099917568,F,D,27,66,House,Detached,29/01/2009,E08000035,,39843,marketed sale,30,61,424,198,24,70,12,323.89,Single,NO DATA!,double glazing installed before 2002,10,0,0,"Suspended, no insulation (assumed)",,,Partial double glazing,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Poor,Poor,No low energy lighting,Very Poor,Very Poor,NO DATA!,0,N,natural,"Ling Lodge, Ling Lane, Scarcroft",Leeds,LEEDS,England and Wales: 1900-1929,owner-occupied,Address Matched,domestic-E08000035-Leeds
"Mulberry Gardens, Goole DN14",DN14 5DG,end_terrace,Goole,East Riding of Yorkshire,Yorkshire and The Humber,10090692324,800,184.62,800,800,800,3,1,1,,B,"Goole
0.4 miles, Saltmarshe
2.5 miles, Rawcliffe
4.1 miles, Howden
4.1 miles","Riverside Special School
0.2 miles, Kingsway Primary School
0.3 miles, St Joseph's Catholic Primary School
0.4 miles, Falcons Learning
0.8 miles",-0.864499,53.705064,,https://www.zoopla.co.uk/to-rent/details/63849850/,8.79E+32,DN14 5DG,1022974078,B,B,81,82,House,End-Terrace,04/02/2013,E06000011,,41463,new dwelling,85,85,94,91,1.5,18,1.4,82,standard tariff,NO DATA!,NO DATA!,,,0,Average thermal transmittance 0.11 W/m?K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.20 W/m?K,Very Good,Very Good,Average thermal transmittance 0.08 W/m?K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,NO DATA!,,,NO DATA!,"15, Mulberry Gardens",East Riding of Yorkshire,GOOLE,NO DATA!,NO DATA!,Address Matched,domestic-E06000011-East-Riding-of-Yorkshire
"Mulberry Gardens, Goole DN14",DN14 5DG,end_terrace,Goole,East Riding of Yorkshire,Yorkshire and The Humber,10090692324,800,184.62,800,800,800,3,1,1,,B,"Goole
0.4 miles, Saltmarshe
2.5 miles, Rawcliffe
4.1 miles, Howden
4.1 miles","Riverside Special School
0.2 miles, Kingsway Primary School
0.3 miles, St Joseph's Catholic Primary School
0.4 miles, Falcons Learning
0.8 miles",-0.864499,53.705064,,https://www.zoopla.co.uk/to-rent/details/63849850/,307aa13ae83a50c8122e0779d887ef76495714f3717bcf0033a374f83d635547,DN14 5DG,10003843190,C,B,78,91,House,End-Terrace,19/01/2023,E06000011,,44945,rental,80,91,134,52,1.9,23,0.8,81,dual,,double glazing installed during or after 2002,5,73,0,"Solid, insulated (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Very Good,Very Good,"Pitched, insulated (assumed)",Good,Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in 73% of fixed outlets,Very Good,Very Good,,0,N,natural,15 Mulberry Gardens,East Riding of Yorkshire,GOOLE,England and Wales: 2012 onwards,Rented (private),Energy Assessor,domestic-E06000011-East-Riding-of-Yorkshire
"Goole Fields, Goole DN14",DN14 8BA,detached,Goole,East Riding of Yorkshire,Yorkshire and The Humber,10002825084,925,213.46,925,1000,900,4,1,1,,E,"Goole
1.9 miles, Rawcliffe
3.7 miles, Saltmarshe
4 miles, Thorne North
5.9 miles","Marshlands Primary School
1 miles, Swinefleet Primary School
2 miles, Boothferry Primary School
2 miles, Falcons Learning
2 miles",-0.871687,53.677042,,https://www.zoopla.co.uk/to-rent/details/65156439/,1.82E+33,DN14 8BA,3682481778,E,B,45,88,House,Detached,01/09/2020,E06000011,,44075,rental (private),33,72,267,47,10,76,3.6,133,Single,NODATA!,"double glazing, unknown install date",5,100,1,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, oil",Average,Average,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,N,natural,"Orchard House, Goole Fields",East Riding of Yorkshire,GOOLE,England and Wales: 1967-1975,rental (private),Address Matched,domestic-E06000011-East-Riding-of-Yorkshire
"Holderness Road, Hull, East Riding Of Yorkshi HU9",HU9 3DW,flat,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21108971,495,114.23,495,500,400,1,1,1,,C,"Hull Ferry Terminal
1.6 miles, Hull
2 miles, Cottingham
4.4 miles, New Holland
4.6 miles","Estcourt Primary Academy
0.4 miles, Buckingham Primary Academy
0.4 miles, Westcott Primary School
0.4 miles, Southcoates Primary Academy
0.5 miles",-0.304726,53.759126,,https://www.zoopla.co.uk/to-rent/details/69562175/,6.90E+32,HU9 3DW,9013790968,E,E,46,48,Flat,End-Terrace,16/10/2011,E06000010,,40832,marketed sale,44,46,366,353,5.2,70,5,74.43,Single,1st,double glazing installed before 2002,3,100,0,(other premises below),,,Partial double glazing,Poor,Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 150 mm loft insulation",Good,Good,"Room heaters, mains gas",Average,Average,No thermostatic control of room temperature,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,unheated corridor,0,,natural,"Flat 1, 426, Holderness Road","Kingston upon Hull, City of",HULL,England and Wales: 1930-1949,owner-occupied,Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Holderness Road, Hull, East Riding Of Yorkshi HU9",HU9 3DW,flat,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21108971,495,114.23,495,500,400,1,1,1,,C,"Hull Ferry Terminal
1.6 miles, Hull
2 miles, Cottingham
4.4 miles, New Holland
4.6 miles","Estcourt Primary Academy
0.4 miles, Buckingham Primary Academy
0.4 miles, Westcott Primary School
0.4 miles, Southcoates Primary Academy
0.5 miles",-0.304726,53.759126,,https://www.zoopla.co.uk/to-rent/details/69562175/,6.90E+32,HU9 3DW,9013790968,D,C,57,74,Flat,End-Terrace,09/03/2015,E06000010,,42072,none of the above,50,72,315,172,4.8,55,2.6,87,Single,1st,double glazing installed before 2002,3,0,0,"To unheated space, limited insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,unheated corridor,,N,natural,"Flat 1, 426, Holderness Road","Kingston upon Hull, City of",HULL,England and Wales: 1900-1929,owner-occupied,Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Holderness Road, Hull, East Riding Of Yorkshi HU9",HU9 3DW,flat,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21108971,495,114.23,495,500,400,1,1,1,,C,"Hull Ferry Terminal
1.6 miles, Hull
2 miles, Cottingham
4.4 miles, New Holland
4.6 miles","Estcourt Primary Academy
0.4 miles, Buckingham Primary Academy
0.4 miles, Westcott Primary School
0.4 miles, Southcoates Primary Academy
0.5 miles",-0.304726,53.759126,,https://www.zoopla.co.uk/to-rent/details/69562175/,6.90E+32,HU9 3DW,9013790968,D,C,62,74,Flat,Semi-Detached,10/01/2017,E06000010,,42759,ECO assessment,57,74,296,179,3.4,52,2,64,Single,1st,double glazing installed before 2002,4,100,0,(other premises below),NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,unheated corridor,,N,natural,"Flat 1, 426, Holderness Road","Kingston upon Hull, City of",HULL,England and Wales: 1930-1949,rental (social),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Holderness Road, Hull, East Riding Of Yorkshi HU9",HU9 3DW,flat,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21108971,495,114.23,495,500,400,1,1,1,,C,"Hull Ferry Terminal
1.6 miles, Hull
2 miles, Cottingham
4.4 miles, New Holland
4.6 miles","Estcourt Primary Academy
0.4 miles, Buckingham Primary Academy
0.4 miles, Westcott Primary School
0.4 miles, Southcoates Primary Academy
0.5 miles",-0.304726,53.759126,,https://www.zoopla.co.uk/to-rent/details/69562175/,410d577c120202a497422ef71e93d4638a6e7bf5c15a650fd71f74406428be29,HU9 3DW,10004784835,C,C,73,73,Flat,End-Terrace,21/07/2023,E06000010,,45128,rental,72,72,188,188,2.4,33,2.4,72,Single,1,"double glazing, unknown install date",4,100,0,(other premises below),,,Fully double glazed,Average,Average,"Solid brick, with external insulation",Good,Good,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,no corridor,0,N,natural,"Flat 1, 426 Holderness Road","Kingston upon Hull, City of",HULL,England and Wales: 1930-1949,Rented (social),Energy Assessor,domestic-E06000010-Kingston-upon-Hull-City-of
"Hewer Way, Mapplewell, Barnsley S75",S75 6GQ,semi_detached,Barnsley,South Yorkshire,Yorkshire and The Humber,2007018975,1150,265.38,1150,1250,1000,3,2,2,,B,"Darton
1.2 miles, Barnsley
2.2 miles, Dodworth
2.8 miles, Silkstone Common
4 miles","Mapplewell Primary School
0.4 miles, Wellgate Primary School
0.5 miles, Darton Primary School
0.8 miles, Athersley North Primary School
0.9 miles",-1.504766,53.581993,,https://www.zoopla.co.uk/to-rent/details/67601408/,1.74E+33,S75 6GQ,3024795678,B,A,84,95,House,Semi-Detached,06/08/2019,E08000016,,43683,new dwelling,86,96,89,24,1.5,16,0.4,93,standard tariff,NO DATA!,NO DATA!,,100,0,Average thermal transmittance 0.15 W/m-Â¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.24 W/m-Â¦K,Very Good,Very Good,Average thermal transmittance 0.1 W/m-Â¦K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,,NO DATA!,"29, Hewer Way, Mapplewell",Barnsley,BARNSLEY,NO DATA!,unknown,Address Matched,domestic-E08000016-Barnsley
"Vicarage Mews, Kirkstall, Leeds LS5",LS5 3GZ,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72572234,950,219.23,950,1000,900,2,1,1,,B,"Headingley
0 miles, Burley Park
0.7 miles, Kirkstall Forge
1.1 miles, Bramley (West Yorkshire)
2 miles","Kirkstall St Stephen's Church of England (VA) Primary School
0.3 miles, Beecroft Primary School
0.3 miles, Sacred Heart Catholic Primary School, a Voluntary Academy
0.4 miles, Kirkstall Valley Primary School
0.7 miles",-1.593708,53.817478,,https://www.zoopla.co.uk/to-rent/details/69562059/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Copse, Beverley Parklands, Beverley, East Riding Of Yorkshire, UK HU17",HU17 0RE,detached,Beverley,East Riding of Yorkshire,Yorkshire and The Humber,2.00E+11,1050,242.31,1050,1250,1000,3,2,1,,D,"Beverley
0.7 miles, Arram
3.4 miles, Cottingham
3.8 miles, Hull
6.9 miles","Beverley St Nicholas Primary School
0.3 miles, Cambian Beverley School
0.5 miles, Compass Community School Seacole Park
0.8 miles, St John of Beverley Catholic Primary School - a Catholic voluntary academy
0.8 miles",-0.409483,53.836731,,https://www.zoopla.co.uk/to-rent/details/69561524/,3.32E+32,HU17 0RE,9925325668,D,C,65,79,House,Detached,17/10/2012,E06000011,,41200,rental (private),64,79,207,121,3.7,39,2.2,95,Single,NODATA!,"double glazing, unknown install date",4,89,0,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 89% of fixed outlets,Very Good,Very Good,NO DATA!,0,,natural,"7, The Copse, Beverley Parklands",East Riding of Yorkshire,BEVERLEY,England and Wales: 1983-1990,rental (private),Address Matched,domestic-E06000011-East-Riding-of-Yorkshire
"The Copse, Beverley Parklands, Beverley, East Riding Of Yorkshire, UK HU17",HU17 0RE,detached,Beverley,East Riding of Yorkshire,Yorkshire and The Humber,2.00E+11,1050,242.31,1050,1250,1000,3,2,1,,D,"Beverley
0.7 miles, Arram
3.4 miles, Cottingham
3.8 miles, Hull
6.9 miles","Beverley St Nicholas Primary School
0.3 miles, Cambian Beverley School
0.5 miles, Compass Community School Seacole Park
0.8 miles, St John of Beverley Catholic Primary School - a Catholic voluntary academy
0.8 miles",-0.409483,53.836731,,https://www.zoopla.co.uk/to-rent/details/69561524/,3.32E+32,HU17 0RE,9925325668,D,C,62,73,House,Detached,23/07/2009,E06000011,,40018,rental (private),56,69,276,194,5.3,46,3.7,129,Single,NO DATA!,double glazing installed before 2002,4,78,1,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 100mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in 78% of fixed outlets,Very Good,Very Good,NO DATA!,0,N,natural,"7, The Copse, Beverley Parklands",East Riding of Yorkshire,BEVERLEY,England and Wales: 1983-1990,rental (private),Address Matched,domestic-E06000011-East-Riding-of-Yorkshire
"Doncaster Road, Ferrybridge WF11",WF11 8NW,flat,Knottingley,West Yorkshire,Yorkshire and The Humber,63203848,500,115.38,500,500,500,1,1,667,,D,"Knottingley
0.5 miles, Pontefract Monkhill
1.7 miles, Pontefract Baghill
2 miles, Pontefract Tanshelf
2.4 miles","Balance Alternative Provision
0.2 miles, The Vale Primary Academy
0.3 miles, Willow Green Academy
0.4 miles, Simpson's Lane Academy
0.7 miles",-1.267872,53.711874,,https://www.zoopla.co.uk/to-rent/details/55594649/,1.56E+32,WF11 8NW,1732812568,C,C,76,77,Flat,Detached,06/10/2008,E08000036,,39730,rental (private),71,72,327,317,1.6,54,1.6,29.34,Single,1st,double glazing installed before 2002,2,0,0,(other premises below),,,Fully double glazed,Average,Average,"Sandstone, with internal insulation",Good,Good,"Pitched, 250mm loft insulation",Good,Good,Community scheme,Good,Good,"Flat rate charging, programmer and TRVs",Average,Average,No low energy lighting,Very Poor,Very Poor,unheated corridor,0,N,natural,"1e, Doncaster Road",Wakefield,KNOTTINGLEY,England and Wales: before 1900,rental (private),Address Matched,domestic-E08000036-Wakefield
"Doncaster Road, Ferrybridge WF11",WF11 8NW,flat,Knottingley,West Yorkshire,Yorkshire and The Humber,63203848,500,115.38,500,500,500,1,1,667,,D,"Knottingley
0.5 miles, Pontefract Monkhill
1.7 miles, Pontefract Baghill
2 miles, Pontefract Tanshelf
2.4 miles","Balance Alternative Provision
0.2 miles, The Vale Primary Academy
0.3 miles, Willow Green Academy
0.4 miles, Simpson's Lane Academy
0.7 miles",-1.267872,53.711874,,https://www.zoopla.co.uk/to-rent/details/55594649/,1.56E+32,WF11 8NW,1732812568,D,C,65,77,Flat,Semi-Detached,29/08/2018,E08000036,,43344,rental (private),59,76,290,171,3.2,51,1.9,62,Single,1st,"double glazing, unknown install date",3,100,0,(another dwelling below),NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 150 mm loft insulation",Good,Good,Community scheme,Good,Good,"Flat rate charging, room thermostat only",Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,no corridor,,N,natural,"1e, Doncaster Road",Wakefield,KNOTTINGLEY,England and Wales: 1900-1929,rental (private),Address Matched,domestic-E08000036-Wakefield
"Dun Street, Kelham Island, Sheffield S3",S3 8DU,flat,Sheffield,South Yorkshire,Yorkshire and The Humber,10023151849,925,213.46,925,1000,900,2,2,1,,C,"Sheffield
1 miles, Darnall
2.8 miles, Meadowhall
3.2 miles, Dore & Totley
4.6 miles","Netherthorpe Primary School
0.3 miles, Bethany School
0.4 miles, Astrea Academy Sheffield
0.4 miles, Pye Bank CofE Primary School
0.6 miles",-1.47615,53.389355,,https://www.zoopla.co.uk/to-rent/details/63096504/,1.64E+33,S3 8DU,2812448578,C,B,76,86,Flat,Mid-Terrace,17/01/2019,E08000019,,43482,rental (private),79,78,178,179,1.6,30,1.6,52,Unknown,3rd,double glazing installed during or after 2002,3,89,0,(another dwelling below),NO DATA!,,Fully double glazed,Good,Good,"System built, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 89% of fixed outlets,Very Good,Very Good,unheated corridor,,N,natural,"Apartment 323 Daisy Spring Works, 1, Dun Street",Sheffield,SHEFFIELD,England and Wales: 2007 onwards,rental (private),Address Matched,domestic-E08000019-Sheffield
"Dun Street, Kelham Island, Sheffield S3",S3 8DU,flat,Sheffield,South Yorkshire,Yorkshire and The Humber,10023151849,925,213.46,925,1000,900,2,2,1,,C,"Sheffield
1 miles, Darnall
2.8 miles, Meadowhall
3.2 miles, Dore & Totley
4.6 miles","Netherthorpe Primary School
0.3 miles, Bethany School
0.4 miles, Astrea Academy Sheffield
0.4 miles, Pye Bank CofE Primary School
0.6 miles",-1.47615,53.389355,,https://www.zoopla.co.uk/to-rent/details/63096504/,1.64E+33,S3 8DU,2812448578,C,B,77,82,Flat,Mid-Terrace,09/05/2018,E08000019,,43256,rental (private),74,76,206,189,2,35,1.8,58,Unknown,4th,double glazing installed during or after 2002,3,50,0,(another dwelling below),NO DATA!,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,unheated corridor,,N,natural,"Apartment 323 Daisy Spring Works, 1, Dun Street",Sheffield,SHEFFIELD,England and Wales: 2003-2006,rental (private),Address Matched,domestic-E08000019-Sheffield
"Southgate, Eckington S21",S21 4FS,flat,Sheffield,South Yorkshire,Yorkshire and The Humber,10091721161,525,121.15,525,600,500,1,1,1,452,C,"Woodhouse
3.8 miles, Kiveton Bridge
4.3 miles, Dronfield
4.7 miles, Kiveton Park
5.1 miles","Camms CofE (Aided) Primary School
0.3 miles, Eckington Junior School
0.3 miles, Birk Hill Infant & Nursery School
0.8 miles, Eckington School
1 miles",-1.354854,53.308654,,https://www.zoopla.co.uk/to-rent/details/69560865/,1.70E+33,S21 4FS,9623182678,C,C,69,69,Flat,Detached,14/02/2019,E07000038,Derbyshire,43510,new dwelling,72,72,236,236,1.7,40,1.7,42,standard tariff,mid floor,NO DATA!,,100,0,(other premises below),,,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.20 W/m-Â¦K,Very Good,Very Good,Average thermal transmittance 0.16 W/m-Â¦K,Good,Good,"Room heaters, electric",Very Poor,Poor,Room thermostats only,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,,NO DATA!,"Flat 8 The Royal, Southgate, Eckington",North East Derbyshire,SHEFFIELD,NO DATA!,unknown,Address Matched,domestic-E07000038-North-East-Derbyshire
"Harold Place, Hyde Park, Leeds LS6",LS6 1PG,terraced,Leeds,West Yorkshire,Yorkshire and The Humber,72090456,527,121.62,527,600,500,2,1,1,,D,"Burley Park
0.4 miles, Headingley
1.1 miles, Leeds
1.4 miles, Kirkstall Forge
2.2 miles","Brudenell Primary School
0.4 miles, Burley St Matthias Church of England Voluntary Controlled Primary School
0.4 miles, Rosebank Primary School
0.4 miles, Kirkstall Valley Primary School
0.6 miles",-1.571895,53.808538,,https://www.zoopla.co.uk/to-rent/details/52065627/,9.82E+31,LS6 1PG,8771427468,D,B,63,87,House,End-Terrace,04/09/2019,E08000035,,43733,rental (private),58,86,290,96,3.6,51,1.2,70,Single,NODATA!,"double glazing, unknown install date",3,78,0,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 78% of fixed outlets,Very Good,Very Good,NO DATA!,,N,natural,"21, Harold Terrace",Leeds,LEEDS,England and Wales: 1900-1929,rental (private),Address Matched,domestic-E08000035-Leeds
"Harold Place, Hyde Park, Leeds LS6",LS6 1PG,terraced,Leeds,West Yorkshire,Yorkshire and The Humber,72090456,527,121.62,527,600,500,2,1,1,,D,"Burley Park
0.4 miles, Headingley
1.1 miles, Leeds
1.4 miles, Kirkstall Forge
2.2 miles","Brudenell Primary School
0.4 miles, Burley St Matthias Church of England Voluntary Controlled Primary School
0.4 miles, Rosebank Primary School
0.4 miles, Kirkstall Valley Primary School
0.6 miles",-1.571895,53.808538,,https://www.zoopla.co.uk/to-rent/details/52065627/,9.82E+31,LS6 1PG,8771427468,D,D,55,66,House,End-Terrace,17/07/2009,E08000035,,40011,rental (private),48,60,358,273,5.2,60,4,71.58,Single,NO DATA!,"double glazing, unknown install date",4,69,0,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Poor,Poor,Low energy lighting in 69% of fixed outlets,Good,Good,NO DATA!,0,N,natural,"21, Harold Terrace",Leeds,LEEDS,England and Wales: 1900-1929,rental (private),Address Matched,domestic-E08000035-Leeds
"Smithy Parade, Dewsbury, West Yorkshire WF12",WF12 0HL,semi_detached,Dewsbury,West Yorkshire,Yorkshire and The Humber,83171680,995,229.62,995,1000,900,3,1,1,,,"Ravensthorpe
2.2 miles, Dewsbury
2.4 miles, Mirfield
3.4 miles, Batley
3.5 miles","Thornhill Community Academy, A Share Academy
0.3 miles, Thornhill Junior and Infant School
0.5 miles, Middlestown Primary Academy
0.9 miles, Overthorpe CofE Academy
1 miles",-1.610149,53.659598,,https://www.zoopla.co.uk/to-rent/details/69560197/,8.84E+32,WF12 0HL,6408705078,C,B,69,85,House,End-Terrace,17/02/2014,E08000034,,41688,FiT application,69,86,191,83,2.9,37,1.3,80,Single,NODATA!,double glazing installed before 2002,4,56,0,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"System built, with external insulation",Good,Good,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 56% of fixed outlets,Good,Good,NO DATA!,0,,natural,"131, Smithy Parade",Kirklees,DEWSBURY,England and Wales: 1950-1966,owner-occupied,Address Matched,domestic-E08000034-Kirklees
